order_id,product_id,customer_id,quantity,unit_price,line_total,discount_pct,shipping_cost,currency,order_status,payment_method,sales_channel,order_date,shipping_date
1202,57269,5478,1,49.52,49.52,,15.81,USD,Delivered,Credit Card,Partner,2024-01-03,2024-01-06
1383,61541,6673,2,4.6,9.2,0.1,14.8,USD,Returned,Credit Card,Online,2024-01-03,2024-01-05
1679,89204,8524,3,69.61,208.83,,18.63,USD,Delivered,Credit Card,Online,2024-01-03,2024-01-08
1952,65365,3039,2,108.29,216.58,,36.36,USD,Delivered,Credit Card,Online,2024-01-03,2024-01-08
2818,12757,7426,3,38.86,116.58,0.2,19.21,USD,Delivered,Bank Transfer,Online,2024-01-03,2024-01-04
3903,63232,5036,4,111.54,446.16,0.05,20.55,USD,Delivered,Credit Card,Marketplace,2024-01-03,2024-01-09
5687,48936,5478,2,140.4,280.8,,3.65,USD,Delivered,Credit Card,Partner,2024-01-03,2024-01-08
6038,41638,5918,5,49.19,245.95,0.2,28.06,USD,Delivered,Credit Card,Online,2024-01-03,
6083,76388,7588,2,15.74,31.48,0.15,30.63,USD,Delivered,PayPal,Field Sales,2024-01-03,2024-01-03
6135,52763,4273,3,27.91,83.73,,38.04,USD,Delivered,PayPal,Field Sales,2024-01-03,2024-01-05
6316,59746,7922,4,75.0,300.0,,39.23,USD,Delivered,Credit Card,Field Sales,2024-01-03,2024-01-07
6696,79661,7095,5,53.07,265.35,0.1,20.38,USD,Delivered,Bank Transfer,Online,2024-01-03,2024-01-04
7124,20142,7922,5,144.23,721.15,,19.11,USD,Delivered,Credit Card,Field Sales,2024-01-03,2024-01-04
8589,10169,9029,3,116.77,350.31,,34.34,USD,Shipped,Bank Transfer,Online,2024-01-03,2024-01-09
8608,37988,9735,1,23.34,23.34,0.05,6.73,USD,Shipped,Credit Card,Online,2024-01-03,2024-01-10
9938,16643,7294,4,63.94,255.76,,23.51,USD,Delivered,Bank Transfer,Online,2024-01-03,2024-01-05
548,89498,4926,1,104.39,104.39,0.1,2.43,USD,Shipped,Credit Card,Online,2024-01-04,2024-01-06
1131,70383,8008,3,18.03,54.09,0.1,31.36,USD,Returned,Credit Card,Field Sales,2024-01-04,2024-01-06
3602,94930,8706,1,73.04,73.04,,15.57,USD,Shipped,Bank Transfer,Marketplace,2024-01-04,2024-01-05
5135,76117,9309,3,42.8,128.4,,33.78,USD,Shipped,Bank Transfer,Field Sales,2024-01-04,2024-01-06
5778,78355,7922,4,44.33,177.32,0.1,2.95,USD,Delivered,Credit Card,Field Sales,2024-01-04,2024-01-05
6811,12331,4185,4,46.32,185.28,0.05,3.16,USD,Delivered,Credit Card,Partner,2024-01-04,2024-01-06
7384,37988,6673,4,159.08,636.32,,31.7,USD,Delivered,Credit Card,Online,2024-01-04,2024-01-09
7851,82955,4323,1,87.74,87.74,,19.68,USD,Shipped,Credit Card,Online,2024-01-04,2024-01-05
8417,10028,9029,1,22.58,22.58,,35.83,USD,Shipped,PayPal,Online,2024-01-04,
8784,13514,8682,3,163.18,489.54,,5.88,USD,Pending,Credit Card,Field Sales,2024-01-04,2024-01-09
9291,22713,9309,4,126.98,507.92,,15.53,USD,Delivered,PayPal,Online,2024-01-04,2024-01-08
9513,68066,7816,2,49.64,99.28,,30.01,USD,Shipped,Invoice,Field Sales,2024-01-04,2024-01-08
9869,51428,7588,1,22.94,22.94,,33.42,USD,Delivered,Bank Transfer,Partner,2024-01-04,2024-01-05
41,12331,9309,5,84.49,422.45,0.15,14.45,USD,Delivered,Credit Card,Online,2024-01-05,2024-01-07
441,28346,2750,1,84.8,84.8,0.1,36.55,USD,Pending,PayPal,Online,2024-01-05,2024-01-11
643,19549,7588,5,160.67,803.35,,18.82,USD,Delivered,Bank Transfer,Online,2024-01-05,2024-01-12
1377,40679,8706,2,63.56,127.12,,8.02,USD,Cancelled,Bank Transfer,Online,2024-01-05,
1867,77188,7833,4,44.18,176.72,0.05,14.19,USD,Delivered,PayPal,Online,2024-01-05,2024-01-05
3223,71410,2636,2,44.05,88.1,,23.81,USD,Delivered,Credit Card,Marketplace,2024-01-05,2024-01-08
3225,12773,2147,3,89.02,267.06,,21.63,USD,Delivered,Credit Card,Online,2024-01-05,2024-01-05
5721,93966,8682,5,20.71,103.55,0.15,32.64,USD,Delivered,PayPal,Field Sales,2024-01-05,2024-01-09
6219,45999,1826,3,27.69,83.07,0.15,16.58,USD,Delivered,Bank Transfer,Online,2024-01-05,2024-01-12
6583,61541,7294,1,65.1,65.1,0.1,3.35,USD,Pending,Credit Card,Online,2024-01-05,2024-01-07
6940,27252,4978,4,34.57,138.28,0.1,1.23,USD,Pending,Credit Card,Online,2024-01-05,2024-01-08
8740,37555,5893,1,71.55,71.55,,11.3,USD,Shipped,Credit Card,Marketplace,2024-01-05,2024-01-08
9688,78284,2750,1,99.88,99.88,,22.65,USD,Delivered,Bank Transfer,Partner,2024-01-05,2024-01-08
9858,66335,7241,1,90.71,90.71,,2.93,USD,Shipped,Credit Card,Online,2024-01-05,
1088,96046,6855,4,107.02,428.08,,39.38,USD,Delivered,Invoice,Online,2024-01-06,2024-01-13
1356,22032,4926,3,63.1,189.3,,9.22,USD,Shipped,Credit Card,Online,2024-01-06,2024-01-10
1372,28346,2750,4,93.3,373.2,,8.33,USD,Delivered,Credit Card,Online,2024-01-06,2024-01-10
1543,25879,3039,5,106.31,531.55,0.05,6.69,USD,Delivered,Credit Card,Partner,2024-01-06,2024-01-11
2498,52763,9724,3,5.71,17.13,0.05,0.25,USD,Delivered,PayPal,Field Sales,2024-01-06,2024-01-10
3051,93743,7816,2,53.32,106.64,0.15,28.11,USD,Delivered,Credit Card,Online,2024-01-06,2024-01-09
3756,30484,3039,5,13.52,67.6,0.1,16.21,USD,Cancelled,Credit Card,Online,2024-01-06,2024-01-10
5877,69255,9309,2,186.12,372.24,,0.66,USD,Pending,Credit Card,Field Sales,2024-01-06,2024-01-12
7467,52871,6774,1,91.78,91.78,0.05,14.63,USD,Delivered,Credit Card,Field Sales,2024-01-06,2024-01-09
7594,48936,7922,1,177.22,177.22,,22.23,USD,Shipped,Bank Transfer,Online,2024-01-06,2024-01-06
9943,63232,8682,2,59.6,119.2,,6.57,USD,Delivered,Credit Card,Online,2024-01-06,2024-01-10
954,71609,5893,5,43.19,215.95,,8.15,USD,Delivered,Credit Card,Online,2024-01-07,
1477,94818,5893,1,126.1,126.1,0.15,28.93,USD,Delivered,Credit Card,Online,2024-01-07,2024-01-11
2485,51982,8524,5,36.92,184.6,0.15,14.58,USD,Delivered,Bank Transfer,Online,2024-01-07,2024-01-08
3096,28680,7426,2,11.43,22.86,,26.24,USD,Pending,PayPal,Online,2024-01-07,2024-01-13
3100,12116,8682,5,36.29,181.45,0.1,5.97,USD,Cancelled,Bank Transfer,Marketplace,2024-01-07,2024-01-14
3679,12773,5893,5,28.09,140.45,0.15,13.96,USD,Delivered,Bank Transfer,Online,2024-01-07,
4158,93966,7095,1,123.86,123.86,,7.55,USD,Pending,Credit Card,Field Sales,2024-01-07,2024-01-10
4255,56165,2147,2,36.49,72.98,,35.88,USD,Shipped,Bank Transfer,Field Sales,2024-01-07,2024-01-09
4610,47070,4926,3,20.97,62.91,0.15,14.5,USD,Cancelled,Credit Card,Online,2024-01-07,2024-01-13
4737,12773,2484,5,18.26,91.3,0.05,22.83,USD,Delivered,PayPal,Online,2024-01-07,2024-01-08
7016,38122,8432,4,87.39,349.56,0.05,8.17,USD,Delivered,Credit Card,Online,2024-01-07,2024-01-13
7181,25689,6673,5,28.8,144.0,,9.09,USD,Cancelled,Credit Card,Online,2024-01-07,2024-01-13
9516,76117,8432,3,122.55,367.65,,9.72,USD,Shipped,Credit Card,Marketplace,2024-01-07,2024-01-12
107,51982,3039,3,29.03,87.09,0.2,19.76,USD,Delivered,Credit Card,Online,2024-01-08,2024-01-08
244,41913,7241,3,11.66,34.98,,21.99,USD,Delivered,Credit Card,Online,2024-01-08,2024-01-08
555,69255,8706,4,19.73,78.92,,25.81,USD,Returned,Credit Card,Online,2024-01-08,2024-01-15
895,41913,2484,3,29.31,87.93,0.1,3.12,USD,Cancelled,Credit Card,Online,2024-01-08,2024-01-14
1659,52763,7095,3,49.47,148.41,0.05,19.22,USD,Delivered,Credit Card,Online,2024-01-08,2024-01-15
1906,37988,8008,1,65.83,65.83,0.15,30.46,USD,Cancelled,PayPal,Online,2024-01-08,2024-01-15
2296,28680,8682,2,17.13,34.26,0.1,9.83,USD,Delivered,PayPal,Online,2024-01-08,2024-01-15
3057,78284,8432,2,80.9,161.8,0.2,31.43,USD,Delivered,PayPal,Online,2024-01-08,2024-01-15
3629,25162,7294,5,37.31,186.55,,38.99,USD,Delivered,Bank Transfer,Field Sales,2024-01-08,2024-01-14
5420,31334,6774,4,67.14,268.56,0.1,31.2,USD,Cancelled,PayPal,Online,2024-01-08,2024-01-08
6005,66327,4926,5,73.11,365.55,,24.06,USD,Delivered,Bank Transfer,Online,2024-01-08,2024-01-14
6784,71609,7426,3,291.12,873.36,,38.1,USD,Delivered,Invoice,Online,2024-01-08,2024-01-15
6882,82955,2636,3,24.95,74.85,0.1,28.06,USD,Shipped,PayPal,Field Sales,2024-01-08,2024-01-11
7270,63232,4978,4,23.38,93.52,0.05,34.15,USD,Delivered,Credit Card,Online,2024-01-08,2024-01-09
7660,28680,4323,3,169.81,509.43,,22.83,USD,Shipped,Invoice,Online,2024-01-08,2024-01-11
7819,15658,4185,1,67.75,67.75,0.15,32.89,USD,Cancelled,PayPal,Online,2024-01-08,2024-01-15
7854,93743,9724,4,73.77,295.08,0.05,25.54,USD,Shipped,Credit Card,Online,2024-01-08,2024-01-09
7872,79661,1843,2,67.73,135.46,,30.35,USD,Shipped,Credit Card,Field Sales,2024-01-08,2024-01-15
8277,26022,5893,4,149.29,597.16,0.05,21.08,USD,Delivered,Credit Card,Partner,2024-01-08,2024-01-08
8946,25689,8706,4,84.46,337.84,,34.11,USD,Delivered,Bank Transfer,Online,2024-01-08,2024-01-08
9435,68066,4926,5,67.2,336.0,,8.03,USD,Pending,Credit Card,Online,2024-01-08,2024-01-09
9746,19951,5918,2,114.87,229.74,0.05,23.95,USD,Delivered,Bank Transfer,Field Sales,2024-01-08,2024-01-12
1284,82955,1798,4,45.59,182.36,0.05,10.77,USD,Delivered,Bank Transfer,Online,2024-01-09,2024-01-14
1927,69665,4273,4,142.02,568.08,0.05,22.24,USD,Delivered,Bank Transfer,Online,2024-01-09,2024-01-16
2200,19102,7095,2,95.73,191.46,0.05,23.63,USD,Cancelled,Bank Transfer,Online,2024-01-09,2024-01-10
3470,83571,6673,2,30.96,61.92,,29.15,USD,Cancelled,Credit Card,Online,2024-01-09,2024-01-12
5750,12116,4185,4,54.98,219.92,,28.22,USD,Shipped,PayPal,Field Sales,2024-01-09,2024-01-12
6126,28346,9029,3,73.24,219.72,,9.09,USD,Cancelled,Credit Card,Online,2024-01-09,2024-01-11
7099,12116,7095,5,215.49,1077.45,,25.48,USD,Pending,Credit Card,Field Sales,2024-01-09,2024-01-13
8304,13514,7426,2,199.66,399.32,,10.33,USD,Returned,Credit Card,Online,2024-01-09,2024-01-09
9077,65062,6855,5,27.81,139.05,0.2,32.05,USD,Delivered,Credit Card,Online,2024-01-09,2024-01-11
9817,82805,2147,2,112.91,225.82,,1.84,USD,Shipped,Credit Card,Partner,2024-01-09,2024-01-12
1204,28346,8706,1,61.63,61.63,,37.33,USD,Delivered,PayPal,Online,2024-01-10,2024-01-11
1532,12331,8682,5,44.99,224.95,0.1,28.0,USD,Delivered,Invoice,Online,2024-01-10,2024-01-14
1779,81582,5478,4,54.24,216.96,0.1,14.46,USD,Delivered,Credit Card,Field Sales,2024-01-10,2024-01-14
2864,90413,8706,3,63.65,190.95,0.15,37.15,USD,Shipped,Bank Transfer,Online,2024-01-10,2024-01-13
3302,51659,6673,1,65.03,65.03,0.2,26.62,USD,Delivered,Credit Card,Online,2024-01-10,2024-01-14
3366,99834,7426,4,89.21,356.84,,25.33,USD,Delivered,PayPal,Online,2024-01-10,2024-01-10
3872,52763,8706,3,53.19,159.57,0.2,26.58,USD,Delivered,Bank Transfer,Online,2024-01-10,2024-01-12
6746,24306,5597,5,81.64,408.2,0.1,14.22,USD,Pending,Bank Transfer,Online,2024-01-10,
6934,26022,7588,2,29.63,59.26,0.15,37.57,USD,Shipped,Bank Transfer,Online,2024-01-10,2024-01-14
7146,21537,1572,2,31.54,63.08,0.1,19.35,USD,Delivered,Bank Transfer,Online,2024-01-10,2024-01-12
9013,88729,8432,5,26.01,130.05,,11.98,USD,Delivered,Credit Card,Field Sales,2024-01-10,2024-01-11
9269,69665,1798,2,127.17,254.34,0.05,22.69,USD,Shipped,Credit Card,Partner,2024-01-10,2024-01-14
945,51659,7426,1,36.1,36.1,0.1,32.83,USD,Shipped,Bank Transfer,Field Sales,2024-01-11,2024-01-14
1673,24366,8706,3,104.94,314.82,,3.92,USD,Delivered,PayPal,Online,2024-01-11,2024-01-11
1794,46218,5036,2,57.87,115.74,,0.82,USD,Shipped,Invoice,Online,2024-01-11,2024-01-16
2000,23976,2803,5,52.46,262.3,0.1,8.31,USD,Shipped,Credit Card,Marketplace,2024-01-11,2024-01-13
2041,51428,6855,4,69.75,279.0,0.1,19.52,USD,Pending,Bank Transfer,Partner,2024-01-11,2024-01-18
3949,43417,8682,1,36.24,36.24,,31.2,USD,Delivered,Credit Card,Online,2024-01-11,2024-01-13
4709,66327,8706,4,42.81,171.24,,39.77,USD,Delivered,Invoice,Online,2024-01-11,2024-01-15
4721,88729,7095,3,45.66,136.98,0.2,22.3,USD,Shipped,Credit Card,Marketplace,2024-01-11,2024-01-13
5460,51659,9735,5,42.28,211.4,0.1,20.56,USD,Cancelled,Bank Transfer,Field Sales,2024-01-11,2024-01-11
5567,36507,4323,5,40.9,204.5,0.05,30.48,USD,Delivered,Invoice,Online,2024-01-11,2024-01-15
5883,92433,9029,5,17.47,87.35,,8.74,USD,Cancelled,Credit Card,Online,2024-01-11,2024-01-16
7399,57269,8970,3,82.83,248.49,0.1,4.33,USD,Shipped,Credit Card,Online,2024-01-11,2024-01-15
7568,14963,4185,3,117.38,352.14,0.15,8.36,USD,Delivered,Credit Card,Online,2024-01-11,2024-01-12
8106,89665,7816,2,41.77,83.54,,29.84,USD,Delivered,Bank Transfer,Field Sales,2024-01-11,2024-01-17
8936,78355,9029,2,48.75,97.5,0.1,27.73,USD,Delivered,Bank Transfer,Field Sales,2024-01-11,2024-01-14
203,96319,8970,5,85.81,429.05,0.2,4.93,USD,Delivered,Credit Card,Online,2024-01-12,2024-01-15
394,55529,2803,4,119.64,478.56,0.1,9.84,USD,Delivered,Credit Card,Marketplace,2024-01-12,2024-01-17
2260,19102,4926,2,133.21,266.42,,24.53,USD,Delivered,Credit Card,Partner,2024-01-12,2024-01-17
3067,39096,8682,2,24.12,48.24,,35.61,USD,Delivered,PayPal,Online,2024-01-12,2024-01-17
5339,69662,1572,3,162.95,488.85,,12.24,USD,Delivered,PayPal,Marketplace,2024-01-12,2024-01-12
5909,19951,5036,2,46.06,92.12,0.05,0.53,USD,Shipped,Bank Transfer,Online,2024-01-12,2024-01-16
7297,28849,7588,2,100.88,201.76,,27.21,USD,Shipped,Credit Card,Field Sales,2024-01-12,2024-01-12
7665,80714,8970,4,24.12,96.48,0.1,17.12,USD,Delivered,Credit Card,Partner,2024-01-12,2024-01-16
8471,37988,2147,3,12.77,38.31,0.05,26.39,USD,Delivered,Invoice,Online,2024-01-12,2024-01-12
9518,15711,7833,1,97.64,97.64,0.15,17.92,USD,Delivered,Credit Card,Field Sales,2024-01-12,2024-01-15
82,87410,5713,1,65.22,65.22,,17.43,USD,Delivered,PayPal,Online,2024-01-13,2024-01-15
3915,38122,7922,5,36.51,182.55,0.15,3.56,USD,Pending,Credit Card,Online,2024-01-13,2024-01-16
4851,43835,7294,5,108.96,544.8,,33.37,USD,Pending,Credit Card,Online,2024-01-13,2024-01-20
7114,84575,5977,5,73.69,368.45,,3.18,USD,Shipped,Bank Transfer,Online,2024-01-13,2024-01-16
7282,77097,7241,1,74.13,74.13,,32.64,USD,Shipped,Bank Transfer,Partner,2024-01-13,2024-01-16
7603,15711,8706,2,108.92,217.84,,15.16,USD,Delivered,Credit Card,Online,2024-01-13,2024-01-16
7852,26022,4185,1,38.28,38.28,,1.18,USD,Delivered,Bank Transfer,Field Sales,2024-01-13,2024-01-17
8786,48936,4978,4,91.15,364.6,0.05,17.62,USD,Delivered,Credit Card,Online,2024-01-13,2024-01-14
9191,18688,4978,5,11.44,57.2,,9.86,USD,Shipped,Bank Transfer,Online,2024-01-13,2024-01-16
980,89498,2803,2,44.84,89.68,0.05,1.39,USD,Delivered,Credit Card,Online,2024-01-14,2024-01-16
2058,55065,9724,5,42.06,210.3,,17.09,USD,Delivered,PayPal,Online,2024-01-14,2024-01-15
2179,50895,7095,1,22.19,22.19,,11.24,USD,Cancelled,Credit Card,Marketplace,2024-01-14,2024-01-16
4540,78284,5918,4,20.67,82.68,0.05,21.35,USD,Cancelled,Bank Transfer,Marketplace,2024-01-14,
7897,16643,4323,5,94.11,470.55,0.05,11.96,USD,Pending,Bank Transfer,Online,2024-01-14,2024-01-17
8127,19951,1826,5,187.43,937.15,,5.92,USD,Delivered,Credit Card,Field Sales,2024-01-14,2024-01-20
8543,31831,7095,3,99.2,297.6,,10.12,USD,Shipped,Bank Transfer,Online,2024-01-14,
9262,25879,7241,3,49.15,147.45,0.15,24.83,USD,Delivered,Credit Card,Marketplace,2024-01-14,
9270,15711,1394,1,52.9,52.9,0.15,32.93,USD,Shipped,PayPal,Partner,2024-01-14,2024-01-20
591,55529,8706,3,65.96,197.88,,14.42,USD,Returned,Bank Transfer,Partner,2024-01-15,2024-01-18
2025,38746,7426,5,15.98,79.9,,3.39,USD,Shipped,PayPal,Partner,2024-01-15,2024-01-22
4652,15711,4978,1,76.67,76.67,,19.77,USD,Shipped,Invoice,Field Sales,2024-01-15,2024-01-22
6078,56610,6855,2,22.28,44.56,,36.53,USD,Shipped,Invoice,Marketplace,2024-01-15,2024-01-19
6140,80714,9724,3,16.81,50.43,0.05,2.52,USD,Returned,Bank Transfer,Online,2024-01-15,2024-01-15
6668,77097,7294,5,16.23,81.15,,12.55,USD,Pending,Invoice,Online,2024-01-15,2024-01-20
7395,19951,7241,3,39.01,117.03,0.05,35.14,USD,Delivered,Bank Transfer,Online,2024-01-15,2024-01-15
9277,56165,8970,1,90.57,90.57,,12.11,USD,Pending,Bank Transfer,Partner,2024-01-15,2024-01-19
9591,51428,9309,4,33.89,135.56,0.1,9.54,USD,Delivered,Bank Transfer,Online,2024-01-15,2024-01-21
887,59746,6673,5,64.37,321.85,,35.36,USD,Delivered,Credit Card,Online,2024-01-16,2024-01-22
2014,65365,5893,2,28.51,57.02,0.2,37.94,USD,Delivered,Invoice,Field Sales,2024-01-16,2024-01-17
2053,41638,9029,3,60.47,181.41,,26.76,USD,Shipped,Credit Card,Online,2024-01-16,2024-01-22
3490,83735,9724,4,83.55,334.2,,32.42,USD,Cancelled,PayPal,Online,2024-01-16,2024-01-18
4678,92066,4273,2,37.48,74.96,,1.08,USD,Delivered,Credit Card,Field Sales,2024-01-16,2024-01-20
5010,57677,7294,1,143.08,143.08,0.1,17.32,USD,Delivered,Bank Transfer,Online,2024-01-16,2024-01-18
5892,71609,9724,1,103.92,103.92,,22.34,USD,Shipped,Credit Card,Online,2024-01-16,2024-01-17
5988,90413,1843,3,124.47,373.41,0.1,26.08,USD,Shipped,Credit Card,Online,2024-01-16,2024-01-20
5993,32538,8682,4,69.46,277.84,,31.69,USD,Delivered,Bank Transfer,Partner,2024-01-16,2024-01-19
6057,65062,9724,4,32.19,128.76,0.15,10.1,USD,Shipped,Bank Transfer,Online,2024-01-16,2024-01-17
7744,79661,7833,3,58.22,174.66,,19.8,USD,Pending,Credit Card,Partner,2024-01-16,2024-01-21
7785,19549,7922,2,102.28,204.56,,1.72,USD,Shipped,Bank Transfer,Field Sales,2024-01-16,2024-01-18
8430,85413,4874,3,70.31,210.93,0.05,4.54,USD,Returned,Bank Transfer,Marketplace,2024-01-16,2024-01-22
9239,88729,8008,4,12.1,48.4,,17.92,USD,Delivered,Credit Card,Online,2024-01-16,2024-01-21
9362,55529,5893,5,70.22,351.1,0.15,15.64,USD,Delivered,PayPal,Field Sales,2024-01-16,2024-01-16
9813,15711,5713,5,39.81,199.05,,20.8,USD,Shipped,Credit Card,Online,2024-01-16,2024-01-17
2261,83735,8432,1,79.88,79.88,0.1,15.24,USD,Delivered,Bank Transfer,Marketplace,2024-01-17,2024-01-17
2666,71410,1798,3,48.07,144.21,0.05,15.54,USD,Shipped,Credit Card,Marketplace,2024-01-17,2024-01-20
3786,71410,7294,3,91.63,274.89,0.15,5.16,USD,Delivered,Bank Transfer,Field Sales,2024-01-17,
4590,64337,4185,4,188.73,754.92,,26.83,USD,Cancelled,Credit Card,Online,2024-01-17,2024-01-18
5201,28346,7241,5,33.05,165.25,,24.92,USD,Delivered,Invoice,Online,2024-01-17,2024-01-19
5478,32935,3039,1,47.57,47.57,,26.21,USD,Delivered,PayPal,Online,2024-01-17,2024-01-21
5609,13718,5918,4,66.91,267.64,,10.33,USD,Delivered,PayPal,Online,2024-01-17,2024-01-20
6611,13514,5893,4,50.88,203.52,,19.86,USD,Shipped,PayPal,Online,2024-01-17,2024-01-22
7786,17966,3039,1,13.21,13.21,,11.73,USD,Delivered,Credit Card,Online,2024-01-17,2024-01-17
8201,12757,8682,1,47.25,47.25,,0.77,USD,Shipped,Credit Card,Online,2024-01-17,2024-01-23
9209,76388,8008,2,59.98,119.96,,25.8,USD,Delivered,PayPal,Field Sales,2024-01-17,2024-01-18
9829,81582,1826,5,50.6,253.0,0.05,27.98,USD,Shipped,Bank Transfer,Online,2024-01-17,2024-01-24
170,41513,8970,5,18.99,94.95,,14.07,USD,Delivered,Credit Card,Marketplace,2024-01-18,2024-01-25
1660,38122,4185,2,49.17,98.34,,28.65,USD,Delivered,PayPal,Partner,2024-01-18,
1835,66562,5977,1,44.18,44.18,,27.03,USD,Cancelled,Credit Card,Online,2024-01-18,2024-01-25
2013,40679,4978,4,33.18,132.72,,9.91,USD,Shipped,Invoice,Partner,2024-01-18,2024-01-22
2639,58298,2803,5,104.04,520.2,,21.85,USD,Delivered,Invoice,Field Sales,2024-01-18,2024-01-18
2950,67161,6855,5,81.45,407.25,,22.0,USD,Delivered,Credit Card,Online,2024-01-18,2024-01-18
3186,94930,5977,4,27.47,109.88,0.2,6.38,USD,Delivered,Credit Card,Online,2024-01-18,2024-01-25
3234,18701,8008,3,21.62,64.86,0.1,38.77,USD,Returned,Bank Transfer,Online,2024-01-18,2024-01-22
3354,19951,3039,3,44.97,134.91,0.1,5.4,USD,Pending,Bank Transfer,Online,2024-01-18,2024-01-23
4099,30484,2484,2,76.68,153.36,0.15,15.42,USD,Delivered,Bank Transfer,Online,2024-01-18,2024-01-19
4670,59746,7816,3,53.22,159.66,0.1,20.85,USD,Delivered,Invoice,Online,2024-01-18,
6713,52763,8706,1,90.83,90.83,0.05,24.96,USD,Delivered,Credit Card,Partner,2024-01-18,2024-01-24
7097,79661,2750,2,52.11,104.22,,34.86,USD,Delivered,Credit Card,Online,2024-01-18,2024-01-21
7438,42622,6855,2,43.73,87.46,,2.88,USD,Delivered,Credit Card,Marketplace,2024-01-18,2024-01-24
8736,17966,6774,5,31.77,158.85,,15.86,USD,Delivered,Credit Card,Online,2024-01-18,2024-01-21
134,65062,3039,3,102.82,308.46,,13.17,USD,Delivered,Credit Card,Online,2024-01-19,2024-01-21
2526,85413,5478,5,57.02,285.1,0.15,33.34,USD,Shipped,Credit Card,Online,2024-01-19,2024-01-23
4189,80714,4978,4,71.07,284.28,,34.08,USD,Delivered,Credit Card,Online,2024-01-19,2024-01-25
4994,78355,5713,3,112.09,336.27,0.1,37.65,USD,Delivered,Bank Transfer,Online,2024-01-19,2024-01-19
